name,equipment,primary_muscle,secondary_muscle,video,thumbnail,howTo
Dragon Flag,None,Abdominals,None,assets/media/exercises/ex_0110_video.mp4,assets/media/exercises/ex_0110_thumbnail.jpg,1. Lie on a flat gym bench and grab the back support with both hands. | 2. Extend your body and engage your abs. | 3. Take a breath and lift your body off the bench using your midsection musculature. | 4. Elevate your body as high as possible and hold for a moment as you exhale. | 5. Lower your body slowly and breathe in.
Dragonfly,None,Abdominals,None,assets/media/exercises/ex_0111_video.mp4,assets/media/exercises/ex_0111_thumbnail.jpg,1. Lie on a flat gym bench and grab the back support with both hands. | 2. Extend your body and engage your abs. | 3. Take a breath and lift your body off the bench by engaging your midsection musculature. | 4. Elevate your body as high as possible and hold for a moment before exhaling. | 5. Lower your body slowly and breathe in.
Dumbbell Row,Dumbbell,Lats,"Upper Back, Biceps, Forearms",assets/media/exercises/ex_0112_video.mp4,assets/media/exercises/ex_0112_thumbnail.jpg,"1. Grab a dumbbell. | 2. Place your right knee and right hand on a flat gym bench. Keep your left leg and arm straight with the dumbbell in your hand. | 3. Bring your shoulders back and engage your abs. | 4. Row the dumbbell until your elbow is at torso level and squeeze for a moment as you exhale. | 5. Lower the weight while keeping your shoulders in position. Breathe in on the way down. | 6. Once finished, grab the dumbbell with the opposite hand, position your left hand and knee on the bench, and repeat."
Dumbbell Snatch,Dumbbell,Full Body,None,assets/media/exercises/ex_0113_video.mp4,assets/media/exercises/ex_0113_thumbnail.jpg,"1. Place a dumbbell on the floor. | 2. Lean forward and grab the dumbbell with one hand. | 3. Bring your shoulders back, engage your abs, and take a breath. | 4. Thrust the dumbbell up in one powerful swing. | 5. Simultaneously dip slightly (bend your knees) to receive the weight overhead. | 6. Extend your arm and straighten your legs as you exhale. | 7. Lower the dumbbell slowly, breathing in on the way down. | 8. Repeat. | 9. Grab the dumbbell with the opposite hand and repeat for the same number of reps."
Dumbbell Squeeze Press,Dumbbell,Chest,"Shoulders, Triceps",assets/media/exercises/ex_0114_video.mp4,assets/media/exercises/ex_0114_thumbnail.jpg,"1. Grab a pair of dumbbells, sit on a flat gym bench, and place the weights on top of your thighs. | 2. Lie back slowly while keeping your arms bent and dumbbells against your body. | 3. Extend your arms, position the dumbbells over your chest, have your wrists neutral (palms facing one another), and squeeze the weights together. | 4. Bring your shoulders back and inhale. | 5. Lower the dumbbells to your chest, hold for a moment, and press them back to the top as you breathe out."
Dumbbell Step Up,Dumbbell,Quadriceps,"Glutes, Hamstrings",assets/media/exercises/ex_0115_video.mp4,assets/media/exercises/ex_0115_thumbnail.jpg,"1. Grab a pair of dumbbells and stand in front of a flat gym bench or plyo box. | 2. Bring your shoulders back and take a breath. | 3. Extend one leg forward and plant the foot on the elevated object. | 4. Press through your front foot and step up, positioning yourself on the bench or box as you exhale. | 5. Step back to the starting position and breathe in. | 6. Extend the opposite leg forward. | 7. Keep alternating between left and right."
Elbow to Knee,None,Abdominals,None,assets/media/exercises/ex_0116_video.mp4,assets/media/exercises/ex_0116_thumbnail.jpg,"1. Lie on the floor, bend your knees, rotate your right leg, and position the outer portion of your ankle against your left thigh. | 2. Bring your left hand behind your head. | 3. Take a breath and engage your abs. | 4. Crunch and rotate your torso, bringing your left elbow to your right knee. Exhale. | 5. Lower your torso and breathe in. | 6. Once finished, place your left ankle against your right thigh and position your right hand behind your head. Repeat for the same number of reps."
Elliptical Trainer,Machine,Cardio,None,assets/media/exercises/ex_0117_video.mp4,assets/media/exercises/ex_0117_thumbnail.jpg,"1. Select the correct resistance and position yourself on the elliptical machine. | 2. Bring your shoulders back, engage your abs, and take a breath. | 3. Initiate the movement by driving your right leg forward as you pull the right handle back. | 4. Maintain a steady tempo and move your arms and legs alternatingly."
EZ Bar Biceps Curl,Barbell,Biceps,None,assets/media/exercises/ex_0118_video.mp4,assets/media/exercises/ex_0118_thumbnail.jpg,"1. Load an EZ (curved) bar and grab it with an even underhand grip (palms facing forward). | 2. Stand tall with your feet in a comfortable stance, knees bent slightly, and shoulders retracted. | 3. Take a breath and lift the bar by engaging your biceps. | 4. Move the weight up until your wrists are slightly higher than your elbows and breathe out. | 5. Pause for a moment and extend your arms as you breathe in."
Farmers Walk,Other,Full Body,None,assets/media/exercises/ex_0119_video.mp4,assets/media/exercises/ex_0119_thumbnail.jpg,"1. Grab a pair of heavy dumbbells, kettlebells, or weight plates. | 2. Stand tall with your shoulders back, your abs tight, and your gaze directed a few feet forward. | 3. Walk forward slowly, breathing steadily as you do. | 4. Go for as long as possible and bend your knees to set the weights on the floor."
Feet Up Bench Press (Barbell),Barbell,Chest,"Shoulders, Triceps",assets/media/exercises/ex_0120_video.mp4,assets/media/exercises/ex_0120_thumbnail.jpg,"1. Set the bar at a height where you can unrack it without fully extending your arms. | 2. Add the appropriate weight and lie on the bench with your forehead directly underneath the bar. | 3. Grab the bar evenly with your hands slightly wider than your shoulders. | 4. Bring your shoulder blades back and into the bench, and extend your legs. Depending on your height, the back of your thighs, knees, or calves should rest against the edge of the bench. | 5. Engage your abs, unrack the bar, and bring it over your mid-chest. | 6. Breathe in and lower the barbell to your chest. | 7. Pause for a moment and press the bar to the top as you exhale. | 8. Breathe in and repeat for the recommended number of reps."
Fire Hydrants,None,Glutes,None,assets/media/exercises/ex_0121_video.mp4,assets/media/exercises/ex_0121_thumbnail.jpg,"1. Get down on your hands and knees. Have your knees below your hips and your shoulders, elbows, and wrists in line. | 2. Plant your hands flat on the floor and engage your abs to put your back in a neutral position. | 3. Flex your right leg without extending the knee. | 4. Take a breath and raise your right leg, bringing it to your side. Lift your leg as high as your mobility and strength allow, exhaling at the top. Don’t let your torso rotate with your knee; keep your hips squared. | 5. Bring your right leg back to the starting position as you breathe in. | 6. Once you’re done, do the same number of reps with the other leg."
Floor Press (Barbell),Barbell,Chest,"Shoulders, Triceps",assets/media/exercises/ex_0122_video.mp4,assets/media/exercises/ex_0122_thumbnail.jpg,"1. Set the barbell on a squat rack at roughly one foot above the floor. | 2. Set the squat rack safety bars at torso level (while lying on the floor). | 3. Lie flat on the floor with the bar above your forehead. | 4. Reach up and grab the bar with an even overhand grip. | 5. Retract your shoulder blades, squeeze your abs, and take a breath. | 6. Unrack the bar by locking out your elbows. | 7. Position the bar over your chest and take another breath. | 8. Lower the bar until your elbows come in contact with the floor. | 9. Press the bar up, exhaling near the top."
Floor Press (Dumbbell),Dumbbell,Chest,"Shoulders, Triceps",assets/media/exercises/ex_0123_video.mp4,assets/media/exercises/ex_0123_thumbnail.jpg,"1. Grab a pair of dumbbells and sit on the floor. | 2. Bend your arms to bring the weights close to your torso, and lie back. | 3. Keep your knees bent and your feet flat on the floor. | 4. Position the dumbbells to your sides, engage your abs, and retract your shoulder blades. | 5. Take a breath and press the dumbbells up and in, breathing out at the top. | 6. Slowly lower the dumbbells to your sides as you breathe in."
Floor Triceps Dip,None,Triceps,Shoulders,assets/media/exercises/ex_0124_video.mp4,assets/media/exercises/ex_0124_thumbnail.jpg,"1. Sit down, bend your knees, and place your feet flat on the floor. | 2. Lean your torso back and place your hands flat on the floor and behind your body. | 3. Engage your abs and take a breath. | 4. Press through your palms to extend your arms, lifting your buttocks several inches off the floor. Exhale. | 5. Slowly bend your arms, bringing your butt back to the floor as you breathe in."
Flutter Kicks,None,Abdominals,None,assets/media/exercises/ex_0125_video.mp4,assets/media/exercises/ex_0125_thumbnail.jpg,"1. Lie on the floor with your arms to your sides and hands flat on the floor. | 2. Engage your abs and raise your feet a couple of inches off the ground. | 3. Breathe in and begin moving your feet up and down alternatingly, several inches in each direction. | 4. Maintain a steady exercise tempo and breathing."
Frog Jumps,None,Quadriceps,"Glutes, Hamstrings, Calves",assets/media/exercises/ex_0126_video.mp4,assets/media/exercises/ex_0126_thumbnail.jpg,"1. Stand tall with your feet wider than your hips and toes pointing slightly out. | 2. Engage your abs and extend your arms with your hands in front of your hips. | 3. Take a breath and descend into a squat, keeping your heels in contact with the floor. | 4. Descend until your hands brush the floor. | 5. Immediately press through your heels as powerfully as possible, propelling yourself in the air and exhaling at the top. Keep your arms pointing to the floor. | 6. Take another breath as you land, descend into the next repetition, and repeat."
Frog Pumps (Dumbbell),Dumbbell,Glutes,Hamstrings,assets/media/exercises/ex_0127_video.mp4,assets/media/exercises/ex_0127_thumbnail.jpg,"1. Grab a dumbbell and lie on the floor. | 2. Carefully place the weight on your groin and hold it with both hands. | 3. Bring your feet together and have your knees pointed out. | 4. Engage your abs and take a breath. | 5. Press through your feet to extend your hips toward the ceiling, squeezing your glutes at the top and breathing out. | 6. Slowly lower your buttocks to the floor as you breathe in."
Front Lever Hold,None,Full Body,None,assets/media/exercises/ex_0128_video.mp4,assets/media/exercises/ex_0128_thumbnail.jpg,"1. Reach up and grab a bar with an even, overhand grip. Your hands should be shoulder-width apart and elbows extended. | 2. Bring your feet together and extend your knees by flexing your quadriceps. | 3. Maintain a neutral spine by flexing your midsection muscles. Avoid arching your lower back during any part of the front lever. | 4. Flex your entire upper body and take a breath. | 5. With your body rigid, initiate the front lever by leaning back as you engage your lats and midsection. | 6. Raise your entire body horizontally by engaging your back, shoulders, and midsection musculature. | 7. Lift your body until you reach a horizontal position and hold, breathing steadily. | 8. Slowly move back to the starting position as you relax your body."
Front Lever Raise,None,Full Body,None,assets/media/exercises/ex_0129_video.mp4,assets/media/exercises/ex_0129_thumbnail.jpg,"1. Reach up and grab a bar with an even, overhand grip. Your hands should be shoulder-width apart, and your elbows should be extended. | 2. Bring your feet together and extend your knees by flexing your quadriceps. | 3. Maintain a neutral spine by flexing your midsection muscles. Don't arch your lower back during any part of the front lever. | 4. Flex your entire upper body and take a breath. | 5. With your body rigid, initiate the front lever by leaning back as you engage your lats and midsection. | 6. Raise your entire body in a horizontal position by engaging your back, shoulders, and midsection musculature. | 7. Lift your body until you reach a horizontal position, and hold for a moment as you exhale. | 8. Slowly move back to the starting position as you breathe in."
Front Raise (Band),Resistance Band,Shoulders,None,assets/media/exercises/ex_0130_video.mp4,assets/media/exercises/ex_0130_thumbnail.jpg,"1. Take an open-ended resistance band with handles on both sides. | 2. Step over the middle of the band, grab both ends, and position your arms to your sides. | 3. Bring your shoulders back, engage your abs, and take a breath. | 4. Raise your arms in front of your body in one smooth motion, exhaling at the top. | 5. Slowly lower your arms to your sides as you breathe in."
Front Raise (Barbell),Barbell,Shoulders,None,assets/media/exercises/ex_0131_video.mp4,assets/media/exercises/ex_0131_thumbnail.jpg,"1. Grab the bar with a double overhand grip (palms facing back). Your hands should be shoulder-width apart. | 2. Stand tall, bring your shoulders back, and squeeze your abs. | 3. Take a breath and lift the barbell in front of your body, keeping your elbows extended. Lift until the weight is at shoulder level and exhale. | 4. Lower the barbell to the starting position, breathing in on the way down."
Front Raise (Cable),Machine,Shoulders,None,assets/media/exercises/ex_0132_video.mp4,assets/media/exercises/ex_0132_thumbnail.jpg,"1. Set the pulley in the lowest position and attach a straight bar. | 2. Face away from the cable machine with the bar between your legs. | 3. Grab the straight bar with an overhand grip (palms facing back), and have the rope between your legs. Your arms should be straight. | 4. Bring your shoulders back, engage your upper body, and bend your knees slightly. | 5. Inhale and raise the bar away from your body in one fluid motion. | 6. Lift until the bar is at shoulder level and breathe out. Keep your arms straight. | 7. Lower your arms to the starting position as you breathe in."
Front Raise (Dumbbell),Dumbbell,Shoulders,None,assets/media/exercises/ex_0133_video.mp4,assets/media/exercises/ex_0133_thumbnail.jpg,1. Grab a pair of dumbbells and stand tall. | 2. Position the dumbbells in front of your thighs with your palms facing back. | 3. Bring your shoulders back and inhale. | 4. Raise both dumbbells until they are at shoulder level. Exhale at the top. | 5. Lower the dumbbells to your upper thighs as you breathe in.
Front Raise (Suspension),Suspension,Shoulders,None,assets/media/exercises/ex_0134_video.mp4,assets/media/exercises/ex_0134_thumbnail.jpg,"1. Grab the handles of a suspension trainer with your arms straight and in front of your chest. | 2. Lean your body back several degrees, have your feet together, and engage your abs. | 3. Take a breath and raise your arms overhead, pulling your body into a vertical position. Exhale. | 4. Slowly lower your arms in front of your chest as you lean back and breathe in."
Front Squat,Barbell,Quadriceps,"Hamstrings, Glutes",assets/media/exercises/ex_0135_video.mp4,assets/media/exercises/ex_0135_thumbnail.jpg,"1. Position the barbell at collarbone height. | 2. Dip by bending your knees slightly, pressing your upper chest against the bar, and extending your arms forward. | 3. Bend your right elbow and bring your forearm over the bar with the hand resting atop your collarbone. | 4. Bend your left elbow and position your left hand on top of your collarbone, right over the bar. | 5. Position the barbell on your shoulders, bring your chest out, take a breath, and extend your knees to unrack the bar. | 6. Take two steps back to clear enough room. | 7. Inhale and descend by bending your knees while keeping your torso upright. | 8. Go down as comfortably as possible––ideally, until your thighs are parallel to the floor. | 9. Push through your heels to squat up and exhale near the top."
Full Squat,Barbell,Quadriceps,"Hamstrings, Glutes",assets/media/exercises/ex_0136_video.mp4,assets/media/exercises/ex_0136_thumbnail.jpg,"1. Position a barbell behind your neck and place it on your upper back muscles. | 2. Grab the bar evenly for support. | 3. Bring your shoulders back and position your feet in a comfortable stance with your toes pointing slightly out. | 4. Engage your abs and take a breath. | 5. Squat down and keep your heels in contact with the floor. | 6. Descend as much as your mobility allows, hold for a moment, and press through your heels to move up. | 7. Exhale near the top."
Glute Bridge,None,Glutes,"Hamstrings, Quadriceps",assets/media/exercises/ex_0137_video.mp4,assets/media/exercises/ex_0137_thumbnail.jpg,1. Lie flat on the ground. | 2. Bend your knees and plant your feet on the floor. | 3. Position your arms to your sides for balance. | 4. Take a breath and press through your heels to extend your hips toward the ceiling. | 5. Squeeze your glutes at the top and hold the position for a moment as you exhale. | 6. Lower your buttocks to the floor as you breathe in.
Glute Ham Raise,Machine,Hamstrings,Glutes,assets/media/exercises/ex_0138_video.mp4,assets/media/exercises/ex_0138_thumbnail.jpg,"1. Set yourself up on a glute ham raise machine. The ankle pad should be against your Achilles heel, and your knees should be on the platform supporting your hips. Push the balls of your feet against the foot platform if your machine has one. | 2. With your torso upright, knees bent, and ankles secure, cross your arms in front of your chest, retract your shoulder blades, and inhale. | 3. Slowly extend your legs and bring your torso forward and down while keeping your back and hips rigid. | 4. Descend as much as possible––ideally, until your knees are almost entirely straight. | 5. Engage your posterior chain to bend your knees and raise your torso to the starting position. Exhale near the top."
Glute Kickback (Machine),Machine,Glutes,Hamstrings,assets/media/exercises/ex_0139_video.mp4,assets/media/exercises/ex_0139_thumbnail.jpg,"1. Select the appropriate load. | 2. Position your right side to the machine and grab the horizontal support bar. | 3. Place the back of your right thigh against the pad, just above the crease of the knee. | 4. Bring your shoulders back, engage your abs, and extend your leg back in one fluid motion as you exhale. | 5. Slowly bring your leg to the starting position as you breathe in. | 6. Once finished, rotate your body 180 degrees, and do the same number of reps for your left leg."
Glute Kickback on Floor,None,Glutes,Hamstrings,assets/media/exercises/ex_0140_video.mp4,assets/media/exercises/ex_0140_thumbnail.jpg,"1. Get down on all fours with your hands flat and knees supporting your lower body. | 2. Your knees should be underneath your hips, and your wrists, elbows, and shoulders should be aligned. | 3. Engage your abs and take a breath. | 4. Kick your right leg back and up, squeezing your glutes at the top and exhale. Keep your knee bent. | 5. Slowly bring the leg to the starting position and breathe in. | 6. Once finished training one side, do the same number of reps with your other leg."
Goblet Squat,Dumbbell,Quadriceps,"Hamstrings, Glutes",assets/media/exercises/ex_0141_video.mp4,assets/media/exercises/ex_0141_thumbnail.jpg,"1. Grab a dumbbell and raise it in front of your torso with both arms while keeping it vertical (with one side up). | 2. Position your hands to the sides of it with your palms placed firmly against the top weight plate. | 3. Straighten your back, engage your abs, and inhale. | 4. Descend into a squat while keeping your torso upright. | 5. Squat as low as you comfortably can – ideally until your thighs are parallel with the floor. | 6. Push through your heels to raise yourself back to the starting position and exhale near the top of the repetition."
Good Morning (Barbell),Barbell,Hamstrings,"Glutes, Lower Back, Upper Back, Lats",assets/media/exercises/ex_0142_video.mp4,assets/media/exercises/ex_0142_thumbnail.jpg,"1. Set the bar up at around armpit height, and grip it evenly, slightly outside shoulder-width level. | 2. Tuck yourself under the bar and position it on your lower traps, around the level of your rear deltoids. | 3. Extend your upper back and press the bar against it with both hands. Keep your wrist straight and don't rest the bar on your hands. | 4. With your feet hip-width apart and firmly planted on the ground, push your hips forward and unrack the bar. Take a few steps back to clear enough space for the lift. | 5. With the bar firmly pressed against your upper back and your feet planted into the ground, take a breath and push your hips straight back. | 6. As you lean forward, keep your back in a neutral position and think about pushing your butt back. | 7. Lean your torso forward as much as possible while keeping your back straight. You should feel an intense stretch in your posterior chain muscles. Allow for a slight bend in your knees at the bottom. | 8. Initiate the upward movement by pushing your hips forward and stand tall. Exhale at the top."
Gorilla Row (Kettlebell),Kettlebell,Upper Back,"Lats, Biceps, Forearms",assets/media/exercises/ex_0143_video.mp4,assets/media/exercises/ex_0143_thumbnail.jpg,"1. Place two kettlebells of equal weight on the floor and stand before them. | 2. Lean forward and grab the two kettlebell handles. | 3. Bend your knees to some degree and retract your shoulder blades to straighten your back. | 4. Take a deep breath, engage your abs, and row one kettlebell until your elbow is at torso level. Exhale. | 5. Lower the weight to the floor as you breathe in. | 6. Immediately row the other kettlebell and breathe out. | 7. Alternate between left and right until you’re done."
Hack Squat,Barbell,Quadriceps,"Hamstrings, Glutes",assets/media/exercises/ex_0144_video.mp4,assets/media/exercises/ex_0144_thumbnail.jpg,"1. Place a barbell on the floor and stand in front of it. Your calves should almost be in contact with it. | 2. Bring your chest out and descend into a squat. | 3. Grab the barbell with your palms facing back, and keep your shoulders retracted. | 4. While holding the barbell firmly, take a deep breath and push through your heels to move up. | 5. Drag the barbell against your legs and buttocks. Exhale near the top. | 6. With your shoulders back and gaze directed forward, bend at the knees and hips to descend."
Hack Squat (Machine),Machine,Quadriceps,"Glutes, Hamstrings",assets/media/exercises/ex_0145_video.mp4,assets/media/exercises/ex_0145_thumbnail.jpg,"1. Add weight to the machine. | 2. Position yourself inside the machine with your shoulders against the pad. | 3. Have your feet in a comfortable squatting stance on the platform below. | 4. Bring your shoulders back and engage your abs. | 5. Extend your knees to unrack the weight and remove the safety latch. | 6. Inhale and descend by bending your knees. | 7. Move down until your knees form a 90-degree angle. | 8. Press through your heels and straighten your legs, exhaling near the top. | 9. Once finished, put the safety on, rack the weight, and relax your body."
Hammer Curl (Band),Resistance Band,Biceps,Forearms,assets/media/exercises/ex_0146_video.mp4,assets/media/exercises/ex_0146_thumbnail.jpg,"1. Take a looped or open-ended resistance band, step over the middle, and grab both ends. | 2. Stand tall with your arms straight and your wrists neutral (facing your body). | 3. Take a breath and slowly bend your arms. | 4. Curl the band until your wrists are slightly higher than your elbows, and breathe out. Keep your elbows to your sides. | 5. Fully extend your arms as you breathe in."
Hammer Curl (Cable),Machine,Biceps,Forearms,assets/media/exercises/ex_0147_video.mp4,assets/media/exercises/ex_0147_thumbnail.jpg,"1. Select the appropriate weight and set the pulley to the lowest position. | 2. Attach a rope to the pulley. | 3. Lean forward and grab both ends of the rope attachment. Keep your hands neutral (palms facing one another). | 4. Stand up and step back to lift the weight off its stack, engage your abs, and retract your shoulder blades. | 5. Take a breath and lift the rope to your chest by bending your arms. Keep your elbows at your sides. | 6. Bend your arms until your wrists are slightly higher than your elbows, and breathe out. | 7. Slowly extend your arms and breathe in."
Handstand Hold,None,Full Body,None,assets/media/exercises/ex_0148_video.mp4,assets/media/exercises/ex_0148_thumbnail.jpg,"1. Stand tall with your arms overhead and core engaged. | 2. Take a breath and lean forward, planting your hands on the floor. | 3. Use the momentum you generate to extend your legs to the ceiling. | 4. Hold the handstand position."
Handstand Push Up,None,Shoulders,"Chest, Triceps",assets/media/exercises/ex_0149_video.mp4,assets/media/exercises/ex_0149_thumbnail.jpg,"1. Assume a handstand position by placing your hands flat on the floor and lifting your legs to the ceiling. You can support yourself against a wall for extra balance. | 2. Once in position, take a breath and lower yourself by bending your elbows. | 3. Move down slowly and stop when your head is a couple of inches from the floor. | 4. Press by extending your elbows and exhale."
Hang Clean,Barbell,Full Body,None,assets/media/exercises/ex_0150_video.mp4,assets/media/exercises/ex_0150_thumbnail.jpg,"1. Stand tall and hold a barbell with an overhand grip (palms facing back). Your hands should be more than shoulder-width apart. | 2. Bring your shoulders back, engage your abs, and position your feet comfortably. | 3. Take a breath and thrust the barbell forward and up. | 4. Immediately sink into a squat and receive the barbell in a front rack position. Your elbows should be bent, and your fingertips should support the barbell as it lies on your shoulders. | 5. Press through your heels and extend your knees to stand up, exhaling at the top. | 6. Grab hold of the barbell and carefully lower it to the starting position as you breathe in."
Hang Snatch,Barbell,Full Body,None,assets/media/exercises/ex_0151_video.mp4,assets/media/exercises/ex_0151_thumbnail.jpg,"1. Grab a loaded barbell with an overhand grip (palms facing back). | 2. Stand tall and straighten your arms. | 3. Engage your abs and take a breath. | 4. Hinge at the hips until the barbell is just above knee level. | 5. Drive your hips forward as you thrust the weight overhead, bending your knees and sinking into a squat. | 6. Catch the bar overhead with your elbows extended. | 7. Push through your heels and squat up while keeping your arms straight. Exhale at the top."
Hanging Knee Raise,None,Abdominals,Forearms,assets/media/exercises/ex_0152_video.mp4,assets/media/exercises/ex_0152_thumbnail.jpg,"1. Reach up and grab a pull-up bar with an overhand grip (palms facing forward). Your hands should be shoulder-width apart. | 2. Bring your legs together, engage your abs, and retract your shoulders. | 3. Take a breath and lift your legs, bending your knees. | 4. Raise your legs as high as possible in one fluid motion and exhale. | 5. Slowly extend your legs as you breathe in. Don’t let your lower back arch."
Hanging Leg Raise,None,Abdominals,Forearms,assets/media/exercises/ex_0153_video.mp4,assets/media/exercises/ex_0153_thumbnail.jpg,"1. Reach up and grab a pull-up bar with an even overhand grip (palms facing forward). | 2. Take a breath, engage your abs, and lift your feet off the floor, suspending yourself in the air. | 3. Raise your legs to your torso and simultaneously bend your knees. | 4. Lift your legs as high as possible in one fluid motion and exhale. | 5. Slowly extend and lower your legs while keeping your body stable as you breathe in."
Heel Taps,None,Abdominals,None,assets/media/exercises/ex_0154_video.mp4,assets/media/exercises/ex_0154_thumbnail.jpg,"1. Lie on the floor, bend your knees, bring your feet together, and plant them flat. | 2. Position your arms to your sides and take a breath. | 3. Crunch your torso to the left, tapping your left ankle with your hand. | 4. Extend your upper body, take another breath, and crunch to the right. | 5. Alternate between left and right until you’re done."
Hex Press (Dumbbell),Dumbbell,Chest,"Shoulders, Triceps",assets/media/exercises/ex_0155_video.mp4,assets/media/exercises/ex_0155_thumbnail.jpg,"1. Grab a pair of dumbbells, preferably hexagonal ones. | 2. Sit on a flat gym bench and place the weights on your thighs. | 3. Lie back while keeping the weights close to your torso. | 4. As you lie down, extend your arms and squeeze the dumbbells together. | 5. Retract your shoulder blades, take a deep breath, and squeeze your abs. | 6. Lower the dumbbells to your upper stomach and pause briefly. | 7. Press the weights to extend your arms and exhale."
High Knee Skips,None,Full Body,None,assets/media/exercises/ex_0156_video.mp4,assets/media/exercises/ex_0156_thumbnail.jpg,"1. Stand tall with your arms to your sides, legs straight, and feet a few inches apart. | 2. Bring your shoulders back, engage your abs, and inhale. | 3. Raise your left knee toward your chest as you bring your left arm back. Simultaneously bend your right arm, positioning your hand to the side of your face. | 4. Lower your left foot to the floor as you exhale, and bring your right arm to your side. | 5. Inhale and immediately bring the opposite knee to your chest, bending your left arm. | 6. Alternate and maintain a steady tempo from start to finish."
High Knees,None,Full Body,None,assets/media/exercises/ex_0157_video.mp4,assets/media/exercises/ex_0157_thumbnail.jpg,"1. Stand tall with your shoulders back, abs engaged, and gaze forward. | 2. Take a breath and raise your right knee to your chest while simultaneously bringing your right arm behind your body. | 3. Lower your knee and immediately lift the opposite one, bringing your left arm behind your body. | 4. Raise your knees to your chest alternatingly, maintaining a steady tempo as you do."
Hip Abduction (Machine),Machine,Abductors,None,assets/media/exercises/ex_0158_video.mp4,assets/media/exercises/ex_0158_thumbnail.jpg,"1. Select the appropriate load and sit down. | 2. Bring your shoulders back and grab the handles to your sides. | 3. Step on the foot platforms and position the outer part of your lower thighs against the pads. | 4. Take a breath and spread your legs out as much as possible in one fluid motion, breathing out. | 5. Bring your knees together as you breathe in."
Hip Adduction (Machine),Machine,Adductors,None,assets/media/exercises/ex_0159_video.mp4,assets/media/exercises/ex_0159_thumbnail.jpg,"1. Select the appropriate load. | 2. Sit down and place your inner thighs against the machine pads. Position your feet on the foot platforms below. | 3. Grab the handles to your sides, retract your shoulder blades, and take a breath. | 4. Squeeze your inner thigh muscles to bring the pads together as you breathe out. | 5. Move your legs to the starting position as you breathe in."
Hip Thrust,None,Glutes,"Hamstrings, Quadriceps",assets/media/exercises/ex_0160_video.mp4,assets/media/exercises/ex_0160_thumbnail.jpg,"1. Sit on the floor and position your upper back against the edge of a bench. | 2. Bend your arms and place your hands on your chest. | 3. Bend your knees and plant your feet flat on the floor. Your knees should point forward, not to the sides. | 4. Bring your shoulders back and take a breath. | 5. Engage your glutes and push through your heels to raise your butt until your hips align with your shoulders. | 6. Hold the contraction for a moment and exhale. | 7. Lower your butt to the floor as you breathe in."
Hip Thrust (Barbell),Barbell,Glutes,"Hamstrings, Quadriceps, Adductors",assets/media/exercises/ex_0161_video.mp4,assets/media/exercises/ex_0161_thumbnail.jpg,1. Sit on the floor and position a loaded barbell over your hips. | 2. Place your upper back against the edge of a flat gym bench. | 3. Bend your knees and plant your feet flat on the floor. | 4. Place your hands over the barbell and grab it firmly. | 5. Engage your abs and take a breath. | 6. Thrust the barbell toward the ceiling by squeezing your buttocks and pushing through your heels. Exhale at the top. | 7. Lower your hips to the floor and breathe in.
Hip Thrust (Machine),Machine,Glutes,"Hamstrings, Quadriceps, Adductors",assets/media/exercises/ex_0162_video.mp4,assets/media/exercises/ex_0162_thumbnail.jpg,1. Select or load the appropriate weight. | 2. Lie back on the machine with your arms to your sides and your upper back in contact with the pad. | 3. Secure the strap or belt over your hips. | 4. Take a deep breath and engage your abs. | 5. Press through your heels to extend your hips toward the ceiling. Squeeze your glutes at the top and hold for a moment as you exhale. | 6. Slowly lower your buttocks to the starting position as you breathe in.
Hip Thrust (Smith Machine),Machine,Glutes,"Hamstrings, Quadriceps, Adductors",assets/media/exercises/ex_0163_video.mp4,assets/media/exercises/ex_0163_thumbnail.jpg,"1. Set the Smith machine bar to a low position, enough to be able to tuck underneath. | 2. Load the bar appropriately and place a pad to prevent hip discomfort. | 3. Position a flat gym bench parallel or perpendicular to the bar at an approximately one-foot distance (tweak the setup to find your ideal position). | 4. Sit on the floor and lean back to position your shoulder blades on the bench. The bar should be directly over your hips. | 5. Bend your knees and plant your feet on the floor. | 6. Grab the bar, push your hips against the pad, and engage your abs. | 7. Breathe in and push through your heels to raise your hips toward the ceiling until they align with your knees and upper body. Exhale at the top. | 8. Slowly lower your buttocks to the floor as you breathe in."
Hollow Rock,None,Abdominals,None,assets/media/exercises/ex_0164_video.mp4,assets/media/exercises/ex_0164_thumbnail.jpg,"1. Lie down on an exercise mat. Have your hands at your sides, feet together, and legs straight. | 2. Contract your abs as if trying to initiate a crunch. Doing so will put your lower back against the exercise mat. | 3. Squeeze your thigh muscles as your legs are together, and lift your feet a couple of inches off the floor. Keep your legs straight. | 4. Lift your head a couple of inches off the floor and extend your arms back behind your head. | 5. Hold the position for as long as possible and breathe steadily."
Incline Bench Press (Barbell),Barbell,Chest,"Triceps, Shoulders",assets/media/exercises/ex_0165_video.mp4,assets/media/exercises/ex_0165_thumbnail.jpg,"1. Lie back on the incline bench and grab the bar with an even overhand grip. The bar should be close enough to unrack without overextending your body. | 2. Bring your shoulders back, engage your abs, and plant your feet on the floor. | 3. Take a breath and unrack the bar by locking out your elbows. | 4. Bring the barbell over your chest and take another breath. | 5. Lower the weight to your mid chest and pause for a moment. | 6. Press the bar in a straight line and exhale near the top. | 7. Once finished, carefully bring the bar over your head and rack it before relaxing."
